group id,group type,title
a,1,Blond desembrood
b,1,Volkoren desembrood
c,1,Wegwerp plastic
d,1,Ik bestel graag de vegan box
e,1,Wegwerp plastic
f,1,Ik bestel graag de reguliere box
g,1,Ik bestel graag de vegetarische box
h,1,Ik bestel graag de vegan box
i,1,Wegwerp plastic
j,1,Ik bestel graag de reguliere box
k,1,Ik bestel graag de vegetarische box
l,1,Ik bestel graag de vegan box
m,1,Wegwerp plastic
n,1,Wegwerp plastic
o,1,Bacon
p,1,Warmgerookte zalm
q,1,Geen - vegetarisch
r,1,"Energie, incl. wegwerp plastic toeslag EUR 0,15"
s,1,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15"
t,1,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15"
u,1,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15"
v,1,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15"
w,1,Wegwerp plastic
x,1,"Energie, incl. wegwerp plastic toeslag EUR 0,15"
y,1,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15"
z,1,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15"
aa,1,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15"
ab,1,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15"
ac,1,Wegwerp plastic
ad,1,Boter
ae,1,Fruitcompote
af,1,"Energie, incl. wegwerp plastic toeslag EUR 0,15"
ag,1,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15"
ah,1,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15"
ai,1,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15"
aj,1,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15"
ak,1,Wegwerp plastic
al,1,Blond desembrood
am,1,Volkoren desembrood
an,1,"Energie, incl. wegwerp plastic toeslag EUR 0,15"
ao,1,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15"
ap,1,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15"
aq,1,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15"
ar,1,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15"
as,1,Wegwerp plastic
at,1,Met gedroogde scharrelham
au,1,"Energie, incl. wegwerp plastic toeslag EUR 0,15"
av,1,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15"
aw,1,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15"
ax,1,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15"
ay,1,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15"
az,1,Wegwerp plastic
ba,1,Met gesmolten kaas
bb,1,"Energie, incl. wegwerp plastic toeslag EUR 0,15"
bc,1,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15"
bd,1,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15"
be,1,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15"
bf,1,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15"
bg,1,Wegwerp plastic
bh,1,Met gedroogde scharrelham
bi,1,"Energie, incl. wegwerp plastic toeslag EUR 0,15"
bj,1,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15"
bk,1,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15"
bl,1,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15"
bm,1,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15"
bn,1,Wegwerp plastic
bo,1,"Energie, incl. wegwerp plastic toeslag EUR 0,15"
bp,1,"Zomergroen, incl. wegwerp plastic toeslag EUR 0,15"
bq,1,"Alles-in-één, incl. wegwerp plastic toeslag EUR 0,15"
br,1,"Oppepper, incl. wegwerp plastic toeslag EUR 0,15"
bs,1,"Verse sinaasappelsap, incl. wegwerp plastic toeslag EUR 0,15"
bt,1,Wegwerp plastic
bu,1,Schulp appelsap
bv,1,Wegwerp plastic
bw,1,Schulp appelsap
bx,1,Wegwerp plastic
by,1,Kaas
bz,1,Jam
ca,1,Pure chocoladestukjes
cb,1,Schulp appelsap
cc,1,Wegwerp plastic
cd,1,"IJsthee, incl. wegwerp plastic toeslag EUR 0,15"
ce,1,"Groene ijsthee, incl. wegwerp plastic toeslag EUR 0,15"
cf,1,Schulp appelsap
cg,1,Vandaag blijf ik binnen
ch,1,Een wijs besluit
ci,1,Even niks
cj,1,Een beetje geluk
ck,1,Held in een mok
cl,1,Wegwerp plastic
cm,1,Wegwerp plastic
cn,1,Wegwerp plastic
co,1,Wegwerp plastic
